Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6633	0.266697	7172	0.068042	656	0.358232	5539	0.260877	0.214621	1793	0.282766	0.249061	1650	0.261212	0.000024	1410	0.193617	0.000019	1780	0.313483	58.547839	5539	0.260877	0.196850	0.219981	
6494	0.244841	7040	0.059517	715	0.327273	5751	0.267780	0.214621	1667	0.239952	0.249061	1753	0.273246	0.000022	1447	0.186593	0.000019	1627	0.271051	58.547839	5751	0.267780	0.189150	0.219956	
6606	0.258553	7005	0.057245	689	0.371553	5700	0.260526	0.214621	1683	0.262626	0.249061	1712	0.271612	0.000020	1519	0.211323	0.000019	1692	0.283688	58.547839	5700	0.260526	0.192500	0.219934	
6589	0.245864	7056	0.065051	678	0.358407	5677	0.240796	0.214621	1799	0.255142	0.249061	1678	0.280691	0.000032	1330	0.157895	0.000019	1782	0.269360	58.547839	5677	0.240796	0.184450	0.219906	
6546	0.230064	7005	0.056531	703	0.337127	5746	0.242081	0.214621	1785	0.248179	0.249061	1807	0.270061	0.000031	1260	0.153175	0.000019	1694	0.225502	58.547839	5746	0.242081	0.176500	0.219871	
6798	0.261253	6979	0.061757	670	0.298507	5553	0.242752	0.214621	1778	0.258718	0.249061	1792	0.295201	0.000024	1481	0.185010	0.000019	1747	0.293646	58.547839	5553	0.242752	0.187750	0.219846	
6921	0.288253	7009	0.060351	641	0.368175	5429	0.255480	0.214621	1735	0.280115	0.249061	1736	0.312212	0.000019	1627	0.229256	0.000019	1823	0.325837	58.547839	5429	0.255480	0.202050	0.219831	
6582	0.249316	7133	0.055797	666	0.376877	5619	0.245417	0.214621	1798	0.245273	0.249061	1731	0.284229	0.000030	1305	0.140230	0.000019	1748	0.300343	58.547839	5619	0.245417	0.183450	0.219803	
6649	0.241390	7070	0.070438	673	0.358098	5608	0.235556	0.214621	1759	0.251848	0.249061	1778	0.270529	0.000024	1353	0.150776	0.000019	1759	0.271177	58.547839	5608	0.235556	0.183250	0.219774	
6415	0.226033	7082	0.061565	694	0.353026	5809	0.232742	0.214621	1824	0.249452	0.249061	1830	0.253552	0.000023	1230	0.152846	0.000019	1531	0.224037	58.547839	5809	0.232742	0.174150	0.219737	
6668	0.248050	6917	0.057829	709	0.369535	5706	0.229583	0.214621	1721	0.247531	0.249061	1821	0.252608	0.000013	1518	0.250329	0.000019	1608	0.241294	58.547839	5706	0.229583	0.181300	0.219707	
6509	0.237978	7134	0.054387	701	0.370899	5656	0.248232	0.214621	1800	0.270000	0.249061	1780	0.265169	0.000029	1278	0.137715	0.000019	1651	0.251363	58.547839	5656	0.248232	0.180050	0.219675	
6945	0.263067	6857	0.054397	692	0.336705	5506	0.235743	0.214621	1668	0.260192	0.249061	1810	0.269061	0.000018	1716	0.223776	0.000019	1751	0.298115	58.547839	5506	0.235743	0.186550	0.219649	
6455	0.269868	7252	0.059570	699	0.379113	5594	0.255989	0.214621	1689	0.253404	0.249061	1749	0.297313	0.000029	1322	0.194402	0.000019	1695	0.316814	58.547839	5594	0.255989	0.193550	0.219629	
6715	0.264483	7030	0.061024	722	0.375346	5533	0.239111	0.214621	1809	0.260365	0.249061	1771	0.286279	0.000022	1462	0.200410	0.000019	1673	0.301853	58.547839	5533	0.239111	0.189950	0.219605	
6650	0.267820	6955	0.070309	712	0.372191	5683	0.230688	0.214621	1738	0.289413	0.249061	1693	0.279976	0.000028	1485	0.189226	0.000019	1734	0.301615	58.547839	5683	0.230688	0.192300	0.219583	
6759	0.287025	7024	0.059937	709	0.380818	5508	0.218410	0.214621	1714	0.267795	0.249061	1733	0.311021	0.000023	1529	0.216481	0.000019	1783	0.342681	58.547839	5508	0.218410	0.191700	0.219561	
6711	0.258084	6980	0.070201	663	0.307692	5646	0.256642	0.214621	1841	0.253123	0.249061	1767	0.279570	0.000026	1466	0.182128	0.000019	1637	0.308491	58.547839	5646	0.256642	0.193750	0.219541	
6871	0.281182	6766	0.062666	686	0.358601	5677	0.246081	0.214621	1840	0.288043	0.249061	1857	0.293484	0.000021	1469	0.223281	0.000019	1705	0.310264	58.547839	5677	0.246081	0.199950	0.219526	
6635	0.264054	7086	0.067739	709	0.345557	5570	0.240215	0.214621	1734	0.276817	0.249061	1791	0.290341	0.000025	1340	0.177612	0.000019	1770	0.290395	58.547839	5570	0.240215	0.190750	0.219503	
6880	0.284738	6950	0.060719	674	0.359050	5496	0.252365	0.214621	1693	0.264619	0.249061	1789	0.298491	0.000014	1754	0.257127	0.000019	1644	0.319951	58.547839	5496	0.252365	0.200500	0.219488	
6746	0.254373	6973	0.063244	711	0.365682	5570	0.250808	0.214621	1764	0.265306	0.249061	1799	0.271818	0.000024	1466	0.183492	0.000019	1717	0.285381	58.547839	5570	0.250808	0.190700	0.219465	
6625	0.277283	7107	0.056283	711	0.341772	5557	0.247256	0.214621	1721	0.308542	0.249061	1738	0.301496	0.000023	1516	0.188654	0.000019	1650	0.300606	58.547839	5557	0.247256	0.192700	0.219444	
6807	0.268106	6970	0.068149	685	0.363504	5538	0.247021	0.214621	1803	0.266223	0.249061	1738	0.255466	0.000014	1643	0.282410	0.000019	1623	0.269254	58.547839	5538	0.247021	0.195850	0.219426	
6690	0.251719	7006	0.058236	746	0.332440	5558	0.249370	0.214621	1735	0.258213	0.249061	1791	0.257398	0.000023	1433	0.196092	0.000019	1731	0.285384	58.547839	5558	0.249370	0.186300	0.219400	
6725	0.256357	6989	0.063528	664	0.370482	5622	0.252579	0.214621	1801	0.249306	0.249061	1780	0.278090	0.000020	1500	0.216667	0.000019	1644	0.276764	58.547839	5622	0.252579	0.191700	0.219378	
6650	0.275489	7082	0.062271	671	0.360656	5597	0.256209	0.214621	1781	0.287479	0.249061	1709	0.303101	0.000023	1415	0.205654	0.000019	1745	0.292837	58.547839	5597	0.256209	0.197450	0.219361	
6675	0.268015	7040	0.063778	675	0.407407	5610	0.250089	0.214621	1768	0.274887	0.249061	1725	0.277681	0.000023	1434	0.184100	0.000019	1748	0.320366	58.547839	5610	0.250089	0.195800	0.219343	
6751	0.270775	6902	0.063460	696	0.370690	5651	0.227924	0.214621	1722	0.272358	0.249061	1739	0.296722	0.000022	1578	0.184411	0.000019	1712	0.322430	58.547839	5651	0.227924	0.190600	0.219320	
6868	0.275917	6911	0.064679	751	0.356858	5470	0.255576	0.214621	1682	0.280024	0.249061	1790	0.256983	0.000013	1754	0.285063	0.000019	1642	0.282582	58.547839	5470	0.255576	0.200400	0.219305	
6610	0.267474	7064	0.068516	698	0.366762	5628	0.253376	0.214621	1740	0.274713	0.249061	1661	0.282962	0.000023	1432	0.191341	0.000019	1777	0.307259	58.547839	5628	0.253376	0.196700	0.219288	
6718	0.238910	6998	0.069020	665	0.335338	5619	0.240256	0.214621	1786	0.263158	0.249061	1765	0.253824	0.000013	1574	0.218551	0.000019	1593	0.215317	58.547839	5619	0.240256	0.183050	0.219259	
6753	0.270398	6978	0.067498	714	0.385154	5555	0.252025	0.214621	1758	0.263367	0.249061	1726	0.279838	0.000022	1472	0.222826	0.000019	1797	0.307179	58.547839	5555	0.252025	0.198600	0.219243	
6749	0.275745	6963	0.072670	703	0.374111	5585	0.237601	0.214621	1675	0.282985	0.249061	1834	0.303162	0.000021	1524	0.214567	0.000019	1716	0.293706	58.547839	5585	0.237601	0.197850	0.219227	
6925	0.279422	6862	0.059458	676	0.380178	5537	0.231895	0.214621	1741	0.278576	0.249061	1805	0.271468	0.000021	1597	0.238572	0.000019	1782	0.324916	58.547839	5537	0.231895	0.194200	0.219207	
