Options:
Model:                           Independent Contrasts
Tree File Name:                  SelTreeNex.nex
Data File Name:                  BTselPPC.txt
Log File Name:                   BTselPPC.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3727804844
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      200000000
Burn in:                         25000000
MCMC ML Start:                   False
Schedule File:                   BTselPPC.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Alpha-2                      None
    Sigma-1                      None
    Sigma-2                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Alpha-2 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        Sigma-2 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       89
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1	Sigma^2 2	No RJ Local Branch	No RJ Local Node	
25020000	353.008966	1	-0.013372834790	-0.076221214818	0.000006770746	0.000008676461	11	4	
25040000	370.273970	1	-0.044896617429	-0.096826898286	0.000007636064	0.000012459205	7	6	
25060000	360.857484	1	-0.043973923827	-0.025030410783	0.000011169625	0.000009808557	13	2	
25080000	355.481743	1	-0.019454323552	-0.071656700204	0.000006123082	0.000010885989	12	3	
25100000	365.389514	1	-0.005637426286	-0.063500243656	0.000007082390	0.000011676305	7	6	
25120000	365.171567	1	-0.011374687465	-0.010061501039	0.000008301998	0.000011687819	11	3	
25140000	369.428110	1	0.005818588161	-0.058975494382	0.000008943805	0.000012136554	6	5	
25160000	349.442013	1	0.021570985771	0.016546092923	0.000009337984	0.000010174199	16	2	
25180000	362.591298	1	0.002027415193	-0.083423417301	0.000007118866	0.000017864536	10	5	
25200000	366.435381	1	-0.001465103013	-0.059353632652	0.000009670824	0.000013807500	11	5	
25220000	357.920471	1	-0.011345452721	-0.053715969197	0.000008092045	0.000015992419	9	4	
25240000	370.533261	1	0.017135816708	-0.062109662298	0.000005551852	0.000010599120	14	4	
25260000	358.534771	1	-0.025761174348	-0.017962758375	0.000006857643	0.000011571976	11	2	
25280000	358.853666	1	-0.034882088606	-0.059550013004	0.000008802047	0.000012044732	13	5	
25300000	356.625577	1	-0.055292859273	-0.029266894674	0.000008412701	0.000011242752	9	3	
25320000	358.512363	1	-0.001695167379	-0.082096419110	0.000008356028	0.000013848026	7	3	
25340000	349.075818	1	0.028252072969	-0.025667838280	0.000013414826	0.000017742658	10	5	
25360000	366.884693	1	-0.018162621313	0.016285773257	0.000007220412	0.000009794718	9	4	
25380000	357.950854	1	-0.003501119907	-0.033202462080	0.000006669690	0.000012737118	5	3	
25400000	368.480662	1	-0.030202030958	-0.017841425494	0.000005021243	0.000007427138	12	4	
25420000	353.008315	1	-0.031680893652	-0.080265691003	0.000006722154	0.000017438617	13	4	
25440000	364.384026	1	-0.035506840053	-0.079176331564	0.000008394196	0.000012216884	9	4	
25460000	359.247722	1	-0.042968983922	-0.063152173044	0.000007998269	0.000014242643	7	5	
25480000	358.935290	1	-0.026333814995	-0.057832795622	0.000005917609	0.000013301174	14	4	
25500000	367.889737	1	-0.023238864790	-0.000788432340	0.000007742693	0.000012791240	12	5	
25520000	365.276013	1	0.004720052349	-0.032050078541	0.000007165881	0.000005959665	18	4	
25540000	360.421985	1	-0.005357446226	-0.031218347412	0.000007188180	0.000006743198	7	6	
