Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
5980	0.189465	7334	0.067494	759	0.364954	5927	0.348406	0.233422	1828	0.242888	0.274326	1835	0.252316	0.000274	979	0.025536	0.000045	1338	0.150224	36.803011	5927	0.348406	0.198500	0.223523	
6138	0.206256	7207	0.064382	654	0.342508	6001	0.341110	0.233422	1837	0.261840	0.274326	1804	0.271064	0.000246	999	0.026026	0.000039	1498	0.180240	36.803011	6001	0.341110	0.200050	0.223504	
6212	0.209433	7304	0.068729	662	0.392749	5822	0.305565	0.233422	1788	0.225951	0.274326	1869	0.269128	0.000142	1015	0.049261	0.000035	1540	0.223377	36.803011	5822	0.305565	0.192100	0.223479	
5772	0.186590	7605	0.062327	712	0.363764	5911	0.334461	0.233422	1866	0.269025	0.274326	1892	0.260571	0.000136	1051	0.058991	0.000582	963	0.020768	36.803011	5911	0.334461	0.189350	0.223452	
5819	0.171507	7565	0.059220	722	0.387812	5894	0.358839	0.233422	1886	0.241251	0.274326	1888	0.251589	0.000129	1050	0.048571	0.000564	995	0.017085	36.803011	5894	0.358839	0.192050	0.223427	
5905	0.180356	7495	0.064176	722	0.355956	5878	0.311160	0.233422	1903	0.238045	0.274326	1900	0.266842	0.000107	1068	0.058989	0.000306	1034	0.040619	36.803011	5878	0.311160	0.181600	0.223393	
5795	0.183952	7537	0.058246	758	0.365435	5910	0.331303	0.233422	1895	0.269129	0.274326	1845	0.229268	0.000092	1070	0.078505	0.000208	985	0.049746	36.803011	5910	0.331303	0.187000	0.223364	
5908	0.182126	7418	0.065921	738	0.333333	5936	0.344003	0.233422	1907	0.233875	0.274326	1830	0.259563	0.000085	1138	0.084359	0.000156	1033	0.057115	36.803011	5936	0.344003	0.192650	0.223340	
6182	0.208509	7216	0.057234	765	0.335948	5837	0.322597	0.233422	1845	0.249864	0.274326	1909	0.281823	0.000043	1232	0.136364	0.000099	1196	0.102007	36.803011	5837	0.322597	0.192100	0.223315	
6151	0.211835	7245	0.067771	790	0.354430	5814	0.306674	0.233422	1762	0.236663	0.274326	1811	0.261734	0.000025	1414	0.195191	0.000086	1164	0.116838	36.803011	5814	0.306674	0.192850	0.223291	
6491	0.216608	7090	0.061072	704	0.380682	5715	0.340507	0.233422	1819	0.258384	0.274326	1768	0.236991	0.000021	1678	0.224076	0.000082	1226	0.115008	36.803011	5715	0.340507	0.202650	0.223275	
6003	0.205730	7523	0.069520	678	0.346608	5796	0.322464	0.233422	1876	0.265991	0.274326	1819	0.279824	0.000500	996	0.018072	0.000055	1312	0.159299	36.803011	5796	0.322464	0.193100	0.223251	
5948	0.188467	7380	0.058943	804	0.359453	5868	0.345262	0.233422	1814	0.243660	0.274326	1818	0.254675	0.000312	953	0.017838	0.000053	1363	0.146001	36.803011	5868	0.345262	0.193550	0.223227	
5942	0.199933	7328	0.068641	761	0.319317	5969	0.346289	0.233422	1784	0.252803	0.274326	1799	0.265147	0.000266	938	0.019190	0.000038	1421	0.170303	36.803011	5969	0.346289	0.200050	0.223209	
6273	0.226686	7173	0.061062	678	0.367257	5876	0.339687	0.233422	1745	0.257880	0.274326	1773	0.271856	0.000164	1022	0.033268	0.000021	1733	0.263128	36.803011	5876	0.339687	0.205250	0.223195	
5689	0.168747	7575	0.063894	766	0.328982	5970	0.341541	0.233422	1845	0.230352	0.274326	1868	0.247859	0.000107	1021	0.051910	0.000410	955	0.019895	36.803011	5970	0.341541	0.186750	0.223166	
