"SpecID","Species","Species2","Genus","Family","Fam2","Order","TipLab","ID"
"AlopiassuperciliosusMCLUF160188","Alopias superciliosus","Alo superciliosus","Alopias","Alopiidae","L1","Lamniformes","Alopias_superciliosus",1
"AlopiasvulpinusMCLZMAPISC111198","Alopias vulpinus","Alo vulpinus","Alopias","Alopiidae","L1","Lamniformes","Alopias_vulpinus",2
"AlopiasvulpinusMCLZMAPISC116876","Alopias vulpinus","Alo vulpinus","Alopias","Alopiidae","L1","Lamniformes","Alopias_vulpinus",3
"ApristuruslaurussoniiMCLBMNH19871213","Apristurus laurussonii","Apr laurussonii","Apristurus","Scyliorhinidae","C1","Carcharhiniformes","Apristurus_laurussonii",4
"AtelomycterusmacleayiMCLRMNHPISC34078b","Atelomycterus macleayi","Ate macleayi","Atelomycterus","Scyliorhinidae","C1","Carcharhiniformes","Atelomycterus_macleayi",5
"AtelomycterusmacleayiMCLRMNHPISC34078c","Atelomycterus macleayi","Ate macleayi","Atelomycterus","Scyliorhinidae","C1","Carcharhiniformes","Atelomycterus_macleayi",6
"AtelomycterusmarmoratusMCLRMNHPISC33990","Atelomycterus marmoratus","Ate marmoratus","Atelomycterus","Scyliorhinidae","C1","Carcharhiniformes","Atelomycterus_marmoratus",7
"AtelomycterusmarmoratusMCLRMNHPISC34024b","Atelomycterus marmoratus","Ate marmoratus","Atelomycterus","Scyliorhinidae","C1","Carcharhiniformes","Atelomycterus_marmoratus",8
"AtelomycterusmarmoratusMCLRMNHPISC34027","Atelomycterus marmoratus","Ate marmoratus","Atelomycterus","Scyliorhinidae","C1","Carcharhiniformes","Atelomycterus_marmoratus",9
"AtelomycterusmarmoratusMCLRMNHPISC7397b","Atelomycterus marmoratus","Ate marmoratus","Atelomycterus","Scyliorhinidae","C1","Carcharhiniformes","Atelomycterus_marmoratus",10
"BrachaeluruswaddiMCLBMNH1890923233","Brachaelurus waddi","B waddi","Brachaelurus","Brachaeluridae","O1","Orectolobiformes","Brachaelurus_waddi",11
"CallorhinchusmilliPradel","Callorhinchus milii","Cal milii","Callorhinchus","Callorhinchidae","HC1","Chimaeriformes","Callorhinchus_milii",12
"CarcharhinusacronotusMCLMaraMotta","Carcharhinus acronotus","Car acronotus","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_acronotus",13
"CarcharhinusamboinensisMCLRMNHPISC4264","Carcharhinus amboinensis","Car amboinensis","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_amboinensis",14
"CarcharhinusbrachyurusMCLrawSIO50200","Carcharhinus brachyurus","Car brachyurus","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_brachyurus",15
"CarcharhinusdussumieriMCLRMNHPISC7375","Carcharhinus dussumieri","Car dussumieri","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_dussumieri",16
"CarcharhinusfalciformisMCLZMAPISC108686","Carcharhinus falciformis","Car falciformis","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_falciformis",17
"CarcharhinusgalapagensisMCLrawSIO621","Carcharhinus galapagensis","Car galapagensis","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_galapagensis",18
"CarcharhinushemiodonMCLRMNHPISC34102","Carcharhinus hemiodon","Car hemiodon","Carcharhinus","Carcharhinidae","C3","Carcharhiniformes","Carcharhinus_hemiodon",19
