,FISH,CEPH,MOL,CR,INV,ZOO,BIR,REP,MAM,CHON,PL
Alopias_superciliosus,34.8,65.2,0,0,0,0,0,0,0,0,0
Alopias_vulpinus,26.7,71.8,0,0.5,0,0,0,0,0,1,0
Brachaelurus_waddi,99.4,0.6,0,0,0,0,0,0,0,0,0
Callorhinchus_milii,2.27,0,50.78,44.95,2,0,0,0,0,0,0
Carcharhinus_acronotus,67.2,11.4,0,12.5,1.8,0,0,0,0,7.1,0
Carcharhinus_amboinensis,56.3,5.6,2,7.4,0,0,0,0,0.7,28,0
Carcharhinus_brachyurus,78.9,19,0,0,0,0,0,0,0.2,1.9,0
Carcharhinus_dussumieri,58.8,12.6,0.1,26.4,1.8,0,0,0,0,0,0.3
Carcharhinus_falciformis,31.988,43.282,0,24.73,0,0,0,0,0,0,0
Carcharhinus_galapagensis,57.9,27.9,0.4,5.2,0,0,0,0,1.3,7.3,0
Carcharhinus_leucas,52.3,0.5,0.2,2.6,0,0,0.5,1.4,3.1,35.4,4
Carcharhinus_macloti,86.4,5.1,0,7.5,0.3,0,0,0,0,0.7,0
Carcharhinus_melanopterus,56,15.7,1.5,6,2.2,0,0,12.7,0,0.7,5.2
Carcharias_taurus,65.9,2.9,0,0.1,0,0,0,0,0,31.1,0
Carcharodon_carcharias,35.5,3.6,0.4,1.8,0.4,0,1.1,0.4,21.1,35.7,0
Centrophorus_granulosus,63.3,12,0,18,0,0,0,0,0,6.7,0
Centroscymnus_coelolepis,10.5,79,0,4.3,1.4,0,0,0,4.1,0.7,0
Centroselachus_crepidater,42.7,48.5,0,8.8,0,0,0,0,0,0,0
Cephaloscyllium_ventriosum,37.6,5.4,2.5,36,15.7,0,0,0,0,2.8,0
Cetorhinus_maximus,0,0,0,0,0,100,0,0,0,0,0
Chaenogaleus_macrostoma,61.3,22.85,0.05,14.9,0.9,0,0,0,0,0,0
Chiloscyllium_punctatum,26.8,0,0,46.5,26.7,0,0,0,0,0,0
Chiloscyllium_griseum,30.3,2.3,7.8,33.5,26.1,0,0,0,0,0,0
Chiloscyllium_hasseltii,25.45,1.59,0.76,70.49,0.98,0,0,0,0,0,0.73
Chiloscyllium_indicum,22.57,36.25,0,33.18,8,0,0,0,0,0,0
Chlamydoselachus_anguineus,14.8,85.2,0,0,0,0,0,0,0,0,0
Dalatias_licha,56.1,9.8,0,17.2,2.3,0,0,0,0,14.6,0
Deania_calcea,80.3,18.1,0,1.6,0,0,0,0,0,0,0
Echinorhinus_brucus,28.2,1.8,0,69.3,0,0,0,0,0,0.7,0
Etmopterus_spinax,33.3,19.7,0,22.7,0.5,23.8,0,0,0,0,0
Euprotomicrus_bispinatus,44,40,0,16,0,0,0,0,0,0,0
Eusphyra_blochii,82.9,4,0,12.8,0,0,0,0,0,0.3,0
Galeocerdo_cuvier,35.3,4.8,0.6,12.2,0.2,0,10.4,23.8,4.6,8,0.1
Galeorhinus_galeus,79.3,16.4,0,1.1,2.1,0,0,0,0,1.1,0
Ginglymostoma_cirratum,25,19.4,0,55.6,0,0,0,0,0,0,0
Hemigaleus_microstoma,1,93.8,1.4,2.6,1,0,0,0,0,0.2,0
Hemiscyllium_trispeculare,0.3,0,0,54.1,45.6,0,0,0,0,0,0
Heptranchias_perlo,40,40,0,13.3,0,0,0,0,0,6.7,0
Heterodontus_francisci,0,0.1,71.3,27,0.2,0,0,0,0,0,1.4
Hexanchus_griseus,22.9,57.2,0.3,0,0,0,0,0,8.9,10.7,0
Isistius_brasiliensis,32,52,0,4,0,0,0,0,12,0,0
Isurus_oxyrinchus,77.1,7.2,0,1.3,0,0,0,0.2,0.4,13.6,0.2
Lamna_ditropis,79,21,0,0,0,0,0,0,0,0,0
Lamna_nasus,74.6,22.7,0,0,1.3,0,0.7,0,0,0,0.7
Mitsukurina_owstoni,99.74,0.26,0,0,0,0,0,0,0,0,0
