"ID","GP1","GP2","GP3","GP4","GP5","SO","Order","Diet","Diet2","Hab","HabFB",,"D-Ran","MDR","Occ-Range","CMCat","HAB4","TL_C","CS","TrL","TipLab"
"Alopias_superciliosus","Sel","Mord","SC","SC","SC","Galeo","Lamn","CEPH","ND","pelagic","pelagic-oceanic","oceanodromous","0 – 730","0 – 100","20 – 450","twilight","shallow","TP",497.3499,4.5,"Alopias_superciliosus"
"Alopias_vulpinus","Sel","Mord","SC","SC","SC","Galeo","Lamn","CEPH","ND","pelagic","pelagic-oceanic","oceanodromous","0 – 650","0 – 200","20 – 370","shallow","shallow","TP",340.4161,4.5,"Alopias_vulpinus"
"Apristurus_laurussonii","Sel","Mord","EXC","EXC","EXC","Galeo","Carc",,,"deep","bathydemersal",,"560 – 1550",,"100 – 1850","deep","deep","MP",221.2753,4,"Apristurus_laurussonii"
"Atelomycterus_macleayi","Sel","Mord","EXC","EXC","EXC","Galeo","Carc",,,"reef","reef-associated",,"0 – 4",,"NA","shallow","shallow","MP",177.3645,4.1,"Atelomycterus_macleayi"
"Atelomycterus_marmoratus","Sel","Mord","SC","SC","SC","Galeo","Carc","GEN","ND","reef","reef-associated",,"42 – 150",,"42 – 150","shallow","shallow","MP",191.6097,4.1,"Atelomycterus_marmoratus"
"Brachaelurus_waddi","Sel","Mord","SC","SC","SC","Galeo","Orec","FISH","ND","reef","reef-associated",,"0 – 140",,"16 – 75","shallow","shallow","MP",221.5445,3.9,"Brachaelurus_waddi"
"Callorhinchus_milii","EXC","EXC","EXC","EXC","EXC","Holoc","Chim","MOLL",,"shelf","NA",,,,,,,"LP",1056.2621,3.6,"Callorhinchus_milii"
"Carcharhinus_acronotus","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","reef","reef-associated",,"9 – 64",,"NA","shallow","shallow","TP",430.6286,4.4,"Carcharhinus_acronotus"
"Carcharhinus_amboinensis","Sel","Mord","SC","SC","SC","Galeo","Carc","BP","ND","reef","reef-associated",,"0 – 150",,"35 – 50","shallow","shallow","TP",310.1542,4.3,"Carcharhinus_amboinensis"
"Carcharhinus_brachyurus","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","pelagic","reef-associated","oceanodromous","0 – 360","30 – 58","30 – 536","shallow","shallow","TP",321.533,4.5,"Carcharhinus_brachyurus"
"Carcharhinus_dussumieri","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","reef","reef-associated",,"0 – 100",,"14 – 170","shallow","shallow","MP",260.8937,3.9,"Carcharhinus_dussumieri"
"Carcharhinus_falciformis","Sel","Mord","SC","SC","SC","Galeo","Carc","CEPH","ND","pelagic","reef-associated","oceanodromous","0 – 500","25 – 200","25 – 1826","shallow","shallow","TP",302.2114,4.5,"Carcharhinus_falciformis"
"Carcharhinus_galapagensis","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","reef","reef-associated",,"1 – 286","30 – 180","NA","shallow","shallow","MP",433.7571,4.2,"Carcharhinus_galapagensis"
"Carcharhinus_hemiodon","Sel","Mord","EXC","EXC","EXC","Galeo","Carc",,,"shelf","demersal","amphidromous","10 – 150",,"NA","shallow","shallow","MP",293.5625,4.2,"Carcharhinus_hemiodon"
"Carcharhinus_leucas","Sel","Mord","SC","SC","SC","Galeo","Carc","BP","ND","shelf","reef-associated","amphidromous","1 – 164","1 – 30","8 – 11","shallow","shallow","TP",532.8633,4.3,"Carcharhinus_leucas"
"Carcharhinus_macloti","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","shelf","demersal",,"1 – 170",,"NA","shallow","shallow","MP",267.534,4.2,"Carcharhinus_macloti"
"Carcharhinus_melanopterus","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","reef","reef-associated","amphidromous","20 – 75",,"2 – 2","shallow","shallow","MP",391.321,3.9,"Carcharhinus_melanopterus"
"Carcharias_taurus","Sel","Mord","SC","SC","SC","Galeo","Lamn","BP","ND","reef","reef-associated","oceanodromous","1 – 191","15 – 25","14 – 83","shallow","shallow","TP",1000.7354,4.5,"Carcharias_taurus"
"Carcharodon_carcharias","Sel","Mord","SC","SC","SC","Galeo","Lamn","BP","ND","pelagic","pelagic-oceanic","oceanodromous","0 – 1200","0 – 250",48.9,"shallow","shallow","TP",1067.7745,4.5,"Carcharodon_carcharias"
"Centrophorus_granulosus","Sel","Mord","SC","SC","SC","Squal","Squa","FISH","ND","deep","bathydemersal",,"50 – 1440","200 – 600","250 – 1075","twilight","deep","MP",302.5357,4.1,"Centrophorus_granulosus"
"Centrophorus_seychellorum","Sel","Mord","EXC","EXC","EXC","Squal","Squa",,,"deep","bathydemersal",,"200 – 1000","NA","NA","twilight","twilight","MP",361.5444,4.2,"Centrophorus_seychellorum"
"Centroscymnus_coelolepis","Sel","Mord","SC","SC","SC","Squal","Squa","CEPH","ND","deep","bathydemersal",,"128 – 3700","400 – 2000","350 – 3650","deep","deep","TP",337.7973,4.5,"Centroscymnus_coelolepis"
"Centroselachus_crepidater","Sel","Mord","SC","SC","SC","Squal","Squa","CEPH","ND","deep","bathydemersal",,"230 – 1500",,"NA","twilight","deep","MP",289.7115,4.2,"Centroselachus_crepidater"
"Cephaloscyllium_ventriosum","Sel","Mord","SC","SC","SC","Galeo","Carc","GEN","ND","shelf","demersal",,"5 – 457","5 – 37","NA","twilight","twilight","MP",461.1946,3.9,"Cephaloscyllium_ventriosum"
"Cetorhinus_maximus","Sel","Mord","EXC","SC","SC","Galeo","Lamn","ZOO","ND","pelagic","pelagic-oceanic","oceanodromous","0 – 2000",,"0 – 572","shallow","shallow","LP",2070.0388,3.2,"Cetorhinus_maximus"
"Chaenogaleus_macrostoma","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","shelf","demersal",,"1 – 59",,"NA","shallow","shallow","MP",211.2787,4.2,"Chaenogaleus_macrostoma"
"Chiloscyllium_arabicum","Sel","Mord","EXC","EXC","SC","Galeo","Orec",,"DU","reef","demersal",,"2 – 100",,,"shallow","shallow","MP",157.0811,4.1,"Chiloscyllium_arabicum"
"Chiloscyllium_griseum","Sel","Mord","SC","SC","SC","Galeo","Orec","GEN","ND","reef","reef-associated","oceanodromous","5 – 100",,,"shallow","shallow","LP",161.9176,3.7,"Chiloscyllium_griseum"
"Chiloscyllium_hasseltii","Sel","Mord","SC","SC","SC","Galeo","Orec","CR","DU","reef","reef-associated",,"0 – 12",,,"shallow","shallow","LP",190.6826,3.5,"Chiloscyllium_hasseltii"
"Chiloscyllium_indicum","Sel","Mord","SC","SC","SC","Galeo","Orec","CEPH","ND","reef","demersal","oceanodromous","0 – 90",,,"shallow","shallow","MP",115.882,4,"Chiloscyllium_indicum"
"Chiloscyllium_punctatum","Sel","Mord","SC","SC","SC","Galeo","Orec","GEN","ND","reef","reef-associated",,"0 – 85",,,"shallow","shallow","MP",198.9463,4.1,"Chiloscyllium_punctatum"
"Chlamydoselachus_anguineus","Sel","Mord","SC","SC","SC","Squal","Hexa","CEPH","ND","deep","bathydemersal",,"0 – 1570","120 – 1280","406 – 1264","deep","deep","MP",704.7793,4.2,"Chlamydoselachus_anguineus"
"Dalatias_licha","Sel","Mord","SC","SC","SC","Squal","Squa","FISH","ND","deep","bathydemersal",,"37 – 1800","300 – 600",1794,"twilight","twilight","MP",373.8164,4.2,"Dalatias_licha"
"Deania_calcea","Sel","Mord","SC","SC","SC","Squal","Squa","FISH","ND","deep","bathydemersal",,"60 – 1490","400 – 1400","NA","deep","deep","TP",267.6333,4.3,"Deania_calcea"
"Echinorhinus_brucus","Sel","EXC","SC","SC","SC","Squal","Echi","CR","DU","deep","bathydemersal",,"10 – 900","350 – 900",,"twilight","twilight","TP",615.1704,4.4,"Echinorhinus_brucus"
"Etmopterus_spinax","Sel","Mord","SC","SC","SC","Squal","Squa","CEPH","ND","deep","bathydemersal",,"70 – 2490","200 – 500",,"twilight","twilight","MP",148.6275,4.1,"Etmopterus_spinax"
"Eucrossorhinus_dasypogon","Sel","Mord","EXC","EXC","SC","Galeo","Orec",,"ND","reef","reef-associated",,"2 – 50",,,"shallow","shallow","MP",469.433,4,"Eucrossorhinus_dasypogon"
"Euprotomicrus_bispinatus","Sel","Mord","SC","SC","SC","Squal","Squa","CEPH","ND","deep","bathypelagic",,"0 – 1800",,,"deep","deep","MP",80.0014,4.1,"Euprotomicrus_bispinatus"
"Eusphyra_blochii","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","shelf","benthopelagic","amphidromous","24 – 34",,,"shallow","shallow","MP",325.8512,4.2,"Eusphyra_blochii"
"Galeocerdo_cuvier","Sel","Mord","SC","SC","SC","Galeo","Carc","BP","ND","pelagic","benthopelagic","oceanodromous","0 – 800","0 – 140","11 – 204","shallow","shallow","TP",417.553,4.5,"Galeocerdo_cuvier"
"Galeorhinus_galeus","Sel","Mord","SC","SC","SC","Galeo","Carc","FISH","ND","shelf","benthopelagic","oceanodromous","0 – 1100","2 – 471",,"shallow","shallow","TP",572.2656,4.3,"Galeorhinus_galeus"
"Ginglymostoma_cirratum","Sel","Mord","SC","SC","SC","Galeo","Orec","CR","DU","reef","reef-associated",,"0 – 130","1 – 35",,"shallow","shallow","MP",281.4527,4.2,"Ginglymostoma_cirratum"
"Halaelurus_boesemani","Sel","Mord","EXC","EXC","EXC","Galeo","Carc",,,"shelf","demersal",,"37 – 250",,,"shallow","shallow","TP",167.8993,4.3,"Halaelurus_boesemani"
"Hemigaleus_microstoma","Sel","Mord","SC","SC","SC","Galeo","Carc","CEPH","ND","shelf","demersal",,"20 – 133",,,"shallow","shallow","MP",208.2134,4.2,"Hemigaleus_microstoma"
"Hemiscyllium_trispeculare","Sel","Mord","EXC","SC","SC","Galeo","Orec","INV","ND","reef","reef-associated",,"0 – 50",,,"shallow","shallow","LP",135.0998,3.5,"Hemiscyllium_trispeculare"
"Heptranchias_perlo","Sel","Mord","SC","SC","SC","Squal","Hexa","CEPH","ND","deep","bathydemersal",,"0 – 1000","180 – 450",,"twilight","twilight","MP",571.9538,4.2,"Heptranchias_perlo"
"Heterodontus_francisci","Sel","EXC","EXC","SC","SC","Galeo","Hete","MOLL","DU","reef","demersal",,"0 – 152","2 – 11",,"shallow","shallow","LP",278.6621,3.2,"Heterodontus_francisci"
"Heterodontus_japonicus","Sel","EXC","EXC","EXC","SC","Galeo","Hete",,"DU","reef","demersal",,"6 – 100",,,"shallow","shallow","LP",274.3527,3.6,"Heterodontus_japonicus"
"Hexanchus_griseus","Sel","Mord","SC","SC","SC","Squal","Hexa","CEPH","ND","deep","bathydemersal","oceanodromous","1 – 2500","180 – 1100",,"twilight","deep","TP",1072.1474,4.5,"Hexanchus_griseus"
"Isistius_brasiliensis","Sel","Mord","SC","SC","SC","Squal","Squa","CEPH","ND","deep","bathypelagic","oceanodromous","0 – 3700","0 – 1000",,"twilight","deep","TP",177.5889,4.3,"Isistius_brasiliensis"
"Isogomphodon_oxyrhynchus","Sel","Mord","EXC","EXC","SC","Galeo","Carc",,"ND","shelf","demersal",,15,,,"shallow","shallow","TP",283.0699,4.5,"Isogomphodon_oxyrhynchus"
